Title,Industries,Job Skills
A Level English Teacher Full Time Part Time,['Education Training'],Teaching sharing Knowledge
A Level Maths Teacher Full Time Part Time,"['Education Training', 'Education Training', 'Education Training']",Teaching sharing Knowledge and Maths and Good at Math
Academic Coordinator Native Only,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",MS Office Applications and Handling Pressure and Training skill and Excellent interpersonal skills and Supervision skill and Follow instructions and Initiative responsive and Probelm Solving skills and Cooperative Skills and Organizational skills and Teaching and Child care and Professional at teaching and Professional Driving Skills and Early childhood education
Account,['Medical Healthcare'],Accounting and Customer service
Account Executive Finance Account,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Interpersonal skill and Positive Personality Attitude and Teamwork communication skills and FULL SET OF ACCOUNTS and Interpersonal skill and Communication and teamwork and Full set of account and Positive Personality Attitude
Account Manager,['Food Beverages'],Management
Account Supervisor,['Food Beverages'],Finance Accounting Field
Accountant,"['Shipping Logistics', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Medical Healthcare', 'Medical Healthcare', 'Agriculture', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Medical Healthcare', 'Manufacturing Warehousing', 'Shipping Logistics', 'Construction Engineering', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Accounting Finance and Teamwork communication skills and  and Computer Skills Advanced and Accounts Payable Receivable and SAP data Managment and Teamwork communication skills and Bookkeeping of accounts and Computerize Skill and Lcci Level and Certificated and FULL SET OF ACCOUNTS and Financial Analysic Budgeting and Finance Accounting Field and Financial Management and Financial Reporting and Account payable Receivable and Finance Accounting Field and Bookkeeping of accounts and Accounting and Microsoft word excel and Powe and Finance Accounting Field and English and Microsoft Word Excel Power Po and LCCI Level
Accountant Assistant Accountant MDY Office,['Mining Metal Chemicals'],Finance Accounting Field
Accountant Female Posts Lathar Yangon,['Shipping Logistics'],Accounting and finance departme
Accountant For Minn Tun Trading Co Ltd,['Banking Micro finance Insurance'],Accounting Accountant
Accountant Junior Senior,['Travel Tourism Transportation'],Banking and Finance Skill
Accountant Manager,"['Hospitality Hotel', 'Hospitality Hotel', 'Hospitality Hotel', 'Hospitality Hotel']",Financial Analysic Budgeting and Microsoft Excel and Reporting and analysis and Software Develpment
Accountant Mandalay,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Bookkeeping of accounts and INVENTORY RECONCILIATION and SUPPORT TO AUDIT and Computerize Skill and Computer Word Excel Stock Contr and Communication team work and I can use ERP Software and MS Word MS Excel MS PowerPoin and Lcci Level and Certificated and Lcci and Accounting Principles and Accounting Reconciliation and Finance Accounting Field and Accounting Software
Accountant WIN MYINT MO INDUSTRIES COMPANY For SHAN STATE,['Energy Utilities'],Accounting
